| Rank | Ticker | Company Name                 | Current Price | 20D MA  | 50D MA  | 100D MA | 200D MA |
| 267  | KHC    | Kraft Heinz Company          | $31.10          | $30.60   | $29.97   | $31.26   | $32.78   |
| 268  | KIM    | Kimco Realty Corp            | $20.62          | $21.71   | $22.21   | $23.37   | $22.35   |
| 269  | KKR    | KKR & Company LP             | $112.11         | $129.87  | $144.52  | $146.88  | $131.73  |
| 270  | KLAC   | K L A-Tencor Corp            | $664.22         | $727.51  | $718.44  | $687.23  | $737.86  |
| 271  | KMB    | Kimberly-Clark Corp          | $144.09         | $139.77  | $133.14  | $134.39  | $137.35  |
| 272  | KMI    | Kinder Morgan                | $26.41          | $26.54   | $27.60   | $27.03   | $23.99   |
| 273  | KMX    | Carmax Inc                   | $72.77          | $82.53   | $82.43   | $80.83   | $78.56   |
| 274  | KO     | Coca-Cola Company            | $71.04          | $70.36   | $65.60   | $65.08   | $66.15   |
| 275  | KR     | Kroger Company               | $66.55          | $64.90   | $62.59   | $60.78   | $57.02   |
| 276  | KVUE   | Kenvue Inc                   | $23.49          | $22.81   | $21.74   | $22.33   | $21.33   |
| 277  | L      | Loews Corp                   | $84.53          | $84.53   | $84.74   | $83.87   | $80.75   |
| 278  | LDOS   | Leidos Holdings Inc          | $134.11         | $132.21  | $141.10  | $154.63  | $153.04  |
| 279  | LEN    | Lennar Corp                  | $121.44         | $122.16  | $128.86  | $148.12  | $158.61  |
| 280  | LH     | Laboratory Corp of America H | $239.25         | $249.08  | $243.59  | $237.84  | $226.01  |
| 281  | LHX    | L3Harris Technologies Inc    | $212.33         | $204.91  | $209.39  | $225.24  | $227.60  |
| 282  | LII    | Lennox International         | $566.17         | $607.99  | $614.85  | $622.90  | $591.19  |
| 283  | LIN    | Linde Plc                    | $454.07         | $462.15  | $445.43  | $450.42  | $451.47  |
| 284  | LKQ    | LKQ Corp                     | $43.18          | $41.14   | $38.90   | $38.55   | $39.86   |
| 285  | LLY    | Eli Lilly and Company        | $824.06         | $882.79  | $828.66  | $822.50  | $855.57  |
| 286  | LMT    | Lockheed Martin Corp         | $468.88         | $447.96  | $464.10  | $500.93  | $512.96  |
| 287  | LNT    | Alliant Energy Corp          | $62.62          | $62.77   | $60.47   | $60.55   | $58.00   |
| 288  | LOW    | Lowe's Companies             | $232.67         | $245.28  | $251.24  | $259.32  | $249.49  |
| 289  | LRCX   | Lam Research Corp            | $73.36          | $80.60   | $78.95   | $76.91   | $83.42   |
| 290  | LULU   | Lululemon Athletica          | $319.42         | $361.58  | $381.16  | $356.92  | $317.07  |
| 291  | LUV    | Southwest Airlines Company   | $30.53          | $30.04   | $31.41   | $31.72   | $29.87   |
| 292  | LVS    | Las Vegas Sands              | $44.82          | $44.22   | $45.45   | $48.63   | $45.82   |
| 293  | LW     | Lamb Weston Holdings Inc     | $51.53          | $53.89   | $58.49   | $67.41   | $69.49   |
| 294  | LYB    | Lyondellbasell Industries NV | $73.96          | $76.32   | $75.99   | $79.37   | $87.59   |
| 295  | LYV    | Live Nation Entertainment    | $121.64         | $142.94  | $139.71  | $133.97  | $115.53  |
| 296  | MA     | Mastercard Inc               | $525.80         | $559.58  | $545.14  | $532.90  | $498.43  |
| 297  | MAA    | Mid-America Apartment Commun | $165.00         | $163.15  | $156.47  | $156.56  | $152.59  |
| 298  | MAR    | Marriot Int Cl A             | $246.31         | $276.67  | $280.78  | $279.24  | $257.71  |
| 299  | MAS    | Masco Corp                   | $71.39          | $75.36   | $75.96   | $77.92   | $76.23   |
| 300  | MCD    | McDonald's Corp              | $306.76         | $308.25  | $296.64  | $297.09  | $285.30  |
| 301  | MCHP   | Microchip Technology         | $52.24          | $57.97   | $56.88   | $62.36   | $73.65   |
| 302  | MCK    | Mckesson Corp                | $653.19         | $622.41  | $603.07  | $587.43  | $572.48  |
| 303  | MCO    | Moody's Corp                 | $443.85         | $495.42  | $487.86  | $483.38  | $466.90  |
| 304  | MDLZ   | Mondelez Intl Inc            | $67.85          | $64.19   | $60.44   | $63.02   | $66.32   |
| 305  | MDT    | Medtronic Inc                | $93.28          | $91.43   | $88.43   | $87.53   | $85.72   |
| 306  | MET    | Metlife Inc                  | $78.45          | $82.39   | $83.49   | $83.37   | $78.95   |
| 307  | META   | Meta Platforms Inc           | $605.71         | $672.18  | $654.14  | $620.33  | $568.18  |
| 308  | MGM    | MGM Resorts International    | $31.29          | $35.08   | $34.25   | $35.94   | $37.91   |
| 309  | MHK    | Mohawk Industries            | $112.52         | $117.26  | $120.54  | $129.23  | $133.42  |
| 310  | MKC    | Mccormick & Company          | $83.18          | $80.63   | $77.48   | $77.88   | $76.99   |
| 311  | MKTX   | Marketaxess Holdings         | $209.96         | $196.74  | $210.08  | $237.18  | $233.31  |
| 312  | MLM    | Martin Marietta Materials    | $464.41         | $493.59  | $516.62  | $547.38  | $545.59  |
| 313  | MMC    | Marsh & Mclennan Companies   | $233.11         | $233.25  | $223.41  | $222.81  | $220.86  |
| 314  | MMM    | 3M Company                   | $147.54         | $148.50  | $144.60  | $137.54  | $127.77  |
| 315  | MNST   | Monster Beverage Corp        | $55.23          | $52.60   | $50.82   | $52.17   | $51.08   |
| 316  | MO     | Altria Group                 | $58.15          | $55.40   | $53.41   | $53.70   | $51.49   |
| 317  | MOH    | Molina Healthcare Inc        | $324.81         | $295.79  | $297.21  | $301.46  | $313.44  |
| 318  | MOS    | Mosaic Company               | $24.86          | $25.39   | $26.12   | $26.20   | $27.01   |
| 319  | MPC    | Marathon Petroleum Corp      | $134.72         | $147.99  | $147.62  | $149.39  | $159.73  |
| 320  | MPWR   | Monolithic Power Sys         | $570.35         | $640.36  | $635.23  | $664.09  | $756.54  |
| 321  | MRK    | Merck & Company              | $94.73          | $89.91   | $94.21   | $98.08   | $109.38  |
| 322  | MRNA   | Moderna Inc                  | $33.76          | $33.28   | $36.57   | $41.29   | $71.75   |
| 323  | MS     | Morgan Stanley               | $112.04         | $129.40  | $131.54  | $128.77  | $114.62  |
| 324  | MSCI   | MSCI Inc                     | $541.72         | $572.44  | $588.44  | $594.62  | $564.07  |
| 325  | MSFT   | Microsoft Corp               | $380.45         | $400.41  | $415.31  | $421.48  | $424.87  |
| 326  | MSI    | Motorola Solutions           | $411.73         | $433.04  | $453.68  | $466.08  | $438.06  |
| 327  | MTB    | M&T Bank Corp                | $171.17         | $189.35  | $193.10  | $198.39  | $180.28  |
| 328  | MTCH   | Match Group Inc              | $31.36          | $32.71   | $33.14   | $33.44   | $33.78   |
| 329  | MTD    | Mettler-Toledo International | $1243.17        | $1284.15 | $1293.09 | $1286.29 | $1352.93 |
| 330  | MU     | Micron Technology            | $89.05          | $95.02   | $95.30   | $98.95   | $105.67  |
| 331  | NCLH   | Norwegian Cruise Ord         | $18.77          | $23.60   | $25.46   | $25.74   | $22.00   |
| 332  | NDAQ   | Nasdaq Inc                   | $72.29          | $79.44   | $79.53   | $78.91   | $72.68   |
| 333  | NDSN   | Nordson Corp                 | $206.01         | $213.19  | $213.26  | $230.79  | $236.46  |
| 334  | NEE    | Nextera Energy               | $74.03          | $70.71   | $70.57   | $73.86   | $75.76   |
| 335  | NEM    | Newmont Mining Corp          | $43.42          | $44.64   | $42.47   | $43.55   | $45.76   |
| 336  | NFLX   | Netflix Inc                  | $895.10         | $982.02  | $948.46  | $893.15  | $781.85  |
| 337  | NI     | NiSource Inc                 | $38.82          | $39.61   | $38.11   | $37.13   | $34.19   |
| 338  | NKE    | Nike Inc                     | $74.17          | $77.05   | $75.01   | $76.48   | $79.64   |
| 339  | NOC    | Northrop Grumman Corp        | $494.11         | $462.49  | $471.50  | $485.41  | $483.40  |
| 340  | NOW    | Servicenow Inc               | $808.40         | $927.16  | $1009.86 | $1018.58 | $912.07  |
| 341  | NRG    | NRG Energy                   | $88.62          | $102.22  | $101.55  | $97.20   | $89.12   |
| 342  | NSC    | Norfolk Southern Corp        | $232.98         | $246.11  | $245.88  | $251.56  | $243.67  |
| 343  | NTAP   | Netapp Inc                   | $90.92          | $110.49  | $116.28  | $119.19  | $121.72  |
| 344  | NTRS   | Northern Trust Corp          | $97.49          | $108.76  | $107.90  | $106.19  | $96.36   |
| 345  | NUE    | Nucor Corp                   | $129.90         | $135.00  | $128.25  | $136.35  | $144.78  |
| 346  | NVDA   | Nvidia Corp                  | $108.76         | $125.54  | $130.53  | $135.14  | $127.40  |
| 347  | NVR    | NVR Inc                      | $7361.22        | $7293.61 | $7750.71 | $8414.15 | $8463.98 |
| 348  | NWS    | News Corp Cl B               | $30.76          | $32.70   | $31.86   | $31.27   | $29.65   |
| 349  | NWSA   | News Corp Cl A               | $26.94          | $28.67   | $28.22   | $28.23   | $27.64   |
| 350  | NXPI   | Nxp Semiconductors           | $205.80         | $222.55  | $215.91  | $221.51  | $238.18  |
| 351  | O      | Realty Income Corp           | $56.71          | $56.50   | $54.84   | $56.37   | $57.21   |
| 352  | ODFL   | Old Dominion Freight Line In | $167.03         | $186.42  | $186.18  | $196.90  | $192.94  |
| 353  | OKE    | Oneok Inc                    | $92.62          | $96.02   | $99.55   | $101.73  | $93.85   |
| 354  | OMC    | Omnicom Group Inc            | $82.51          | $82.80   | $84.52   | $92.05   | $93.70   |
| 355  | ON     | On Semiconductor             | $42.86          | $48.99   | $53.43   | $61.12   | $66.72   |
| 356  | ORCL   | Oracle Corp                  | $144.18         | $166.22  | $167.02  | $173.23  | $158.59  |
| 357  | ORLY   | O'Reilly Automotive          | $1324.06        | $1331.12 | $1280.90 | $1250.03 | $1167.08 |
| 358  | OTIS   | Otis Worldwide Corp          | $101.15         | $99.51   | $96.23   | $98.19   | $97.42   |
| 359  | OXY    | Occidental Petroleum Corp    | $46.28          | $48.23   | $49.06   | $49.46   | $53.69   |
| 360  | PANW   | Palo Alto Networks Inc       | $178.93         | $190.43  | $185.96  | $188.91  | $177.38  |
| 361  | PARA   | Paramount Global Cl B        | $11.47          | $11.38   | $10.97   | $10.90   | $10.90   |
| 362  | PAYC   | Paycom Software Inc          | $206.66         | $213.89  | $208.94  | $210.12  | $183.97  |
| 363  | PAYX   | Paychex Inc                  | $146.50         | $149.93  | $146.55  | $144.56  | $135.80  |
| 364  | PCAR   | Paccar Inc                   | $104.72         | $105.92  | $107.20  | $109.17  | $104.91  |
| 365  | PCG    | Pacific Gas & Electric Compa | $16.19          | $15.95   | $16.76   | $18.62   | $18.64   |
| 366  | PEG    | Public Service Enterprise Gr | $78.55          | $82.31   | $83.99   | $86.23   | $82.76   |
| 367  | PEP    | Pepsico Inc                  | $152.33         | $150.95  | $149.28  | $156.29  | $163.74  |
| 368  | PFE    | Pfizer Inc                   | $25.99          | $26.08   | $26.31   | $26.55   | $27.73   |
| 369  | PFG    | Principal Financial Group In | $82.88          | $85.99   | $82.56   | $83.43   | $82.27   |
| 370  | PG     | Procter & Gamble Company     | $173.12         | $171.30  | $167.53  | $169.01  | $168.95  |
| 371  | PGR    | Progressive Corp             | $276.94         | $272.93  | $255.27  | $253.92  | $241.02  |
| 372  | PH     | Parker-Hannifin Corp         | $611.19         | $660.61  | $662.27  | $666.10  | $613.71  |
| 373  | PHM    | Pultegroup                   | $105.84         | $105.29  | $109.28  | $119.26  | $122.06  |
| 374  | PKG    | Packaging Corp of America    | $197.45         | $208.14  | $218.95  | $226.92  | $211.70  |
| 375  | PLD    | Prologis Inc                 | $117.18         | $121.25  | $116.05  | $115.25  | $117.62  |
| 376  | PLTR   | Palantir Technologies Inc Cl | $78.05          | $96.33   | $87.04   | $73.59   | $51.66   |
| 377  | PM     | Philip Morris International  | $152.10         | $152.64  | $136.68  | $132.29  | $122.54  |
| 378  | PNC    | PNC Bank                     | $170.06         | $187.48  | $193.31  | $196.47  | $183.44  |
| 379  | PNR    | Pentair Ltd                  | $86.06          | $93.03   | $97.87   | $100.85  | $92.90   |
| 380  | PNW    | Pinnacle West Capital Corp   | $90.97          | $91.13   | $87.80   | $88.57   | $85.92   |
| 381  | PODD   | Insulet Corp                 | $245.35         | $271.46  | $272.60  | $263.80  | $234.08  |
| 382  | POOL   | Pool Corp                    | $343.56         | $345.91  | $343.93  | $354.71  | $351.06  |
| 383  | PPG    | PPG Industries               | $113.43         | $114.90  | $116.75  | $120.76  | $123.99  |
| 384  | PPL    | PPL Corp                     | $34.28          | $34.52   | $33.53   | $33.32   | $31.75   |
| 385  | PRU    | Prudential Financial Inc     | $105.58         | $110.92  | $115.23  | $119.73  | $119.01  |
| 386  | PSA    | Public Storage               | $308.21         | $305.25  | $300.01  | $315.59  | $315.50  |
| 387  | PSX    | Phillips 66                  | $123.55         | $126.51  | $121.65  | $124.15  | $130.15  |
| 388  | PTC    | Ptc Inc                      | $157.28         | $163.90  | $176.68  | $184.36  | $180.35  |
| 389  | PWR    | Quanta Services              | $246.03         | $267.12  | $298.95  | $311.98  | $291.39  |
| 390  | PYPL   | Paypal Holdings              | $67.98          | $73.06   | $81.11   | $82.96   | $74.90   |
| 391  | QCOM   | Qualcomm Inc                 | $153.10         | $163.13  | $164.25  | $163.75  | $173.94  |
| 392  | RCL    | Royal Caribbean Cruises Ltd  | $207.17         | $239.35  | $242.01  | $234.96  | $198.43  |
| 393  | REG    | Regency Centers Corp         | $73.71          | $74.68   | $73.09   | $73.33   | $70.28   |
| 394  | REGN   | Regeneron Pharmaceuticals    | $718.16         | $695.04  | $697.94  | $756.06  | $917.05  |
| 395  | RF     | Regions Financial Corp       | $20.99          | $23.24   | $23.79   | $24.46   | $22.83   |
| 396  | RJF    | Raymond James Financial      | $139.70         | $151.83  | $158.87  | $157.20  | $137.99  |
| 397  | RL     | Ralph Lauren Corp            | $223.20         | $264.16  | $253.26  | $234.10  | $205.82  |
| 398  | RMD    | Resmed Inc                   | $225.79         | $232.48  | $236.56  | $239.38  | $229.87  |
| 399  | ROK    | Rockwell Automation Inc      | $265.15         | $287.08  | $283.72  | $283.49  | $273.99  |
| 400  | ROL    | Rollins Inc                  | $51.91          | $51.49   | $49.37   | $49.19   | $49.08   |
| 401  | ROP    | Roper Industries             | $565.75         | $578.98  | $553.62  | $552.57  | $551.04  |
| 402  | ROST   | Ross Stores Inc              | $128.65         | $137.50  | $144.84  | $146.00  | $146.10  |
| 403  | RSG    | Republic Services            | $231.71         | $231.60  | $219.32  | $213.87  | $205.96  |
| 404  | RTX    | Rtx Corp                     | $128.11         | $127.54  | $124.32  | $122.42  | $117.60  |
| 405  | RVTY   | Revvity Inc                  | $112.92         | $113.29  | $116.85  | $116.87  | $116.37  |
| 406  | SBAC   | SBA Communications           | $220.42         | $215.06  | $206.37  | $215.39  | $215.69  |
| 407  | SBUX   | Starbucks Corp               | $99.58          | $111.16  | $103.97  | $100.66  | $92.96   |
| 408  | SCHW   | The Charles Schwab Corp      | $72.47          | $78.64   | $78.29   | $77.52   | $72.56   |
| 409  | SHW    | Sherwin-Williams Company     | $353.02         | $355.87  | $352.90  | $364.02  | $351.55  |
| 410  | SJM    | J.M. Smucker Company         | $114.26         | $109.00  | $106.91  | $110.88  | $113.42  |
| 411  | SLB    | Schlumberger N.V.            | $40.08          | $41.13   | $40.62   | $41.21   | $42.97   |
| 412  | SMCI   | Super Micro Computer         | $40.84          | $44.98   | $37.12   | $36.08   | $50.61   |
| 413  | SNA    | Snap-On Inc                  | $335.73         | $337.70  | $342.32  | $344.59  | $309.68  |
| 414  | SNPS   | Synopsys Inc                 | $430.68         | $474.44  | $497.42  | $512.19  | $529.81  |
| 415  | SO     | Southern Company             | $90.10          | $88.62   | $85.35   | $86.54   | $85.30   |
| 416  | SOLV   | Solventum Corporation        | $75.89          | $77.15   | $73.76   | $72.25   | $66.01   |
| 417  | SPG    | Simon Property Group         | $163.48         | $181.63  | $177.41  | $177.24  | $167.17  |
| 418  | SPGI   | S&P Global Inc               | $480.00         | $525.64  | $513.94  | $510.03  | $495.89  |
| 419  | SRE    | Sempra                       | $68.79          | $77.13   | $80.89   | $84.71   | $81.92   |
| 420  | STE    | Steris Corp                  | $228.06         | $223.69  | $217.63  | $217.99  | $224.27  |
| 421  | STLD   | Steel Dynamics Inc           | $120.76         | $131.05  | $126.05  | $130.59  | $127.20  |
| 422  | STT    | State Street Corp            | $85.72          | $95.83   | $97.47   | $96.59   | $88.65   |
| 423  | STX    | Seagate Technology Hldgs Plc | $86.97          | $97.34   | $95.84   | $98.01   | $100.05  |
| 424  | STZ    | Constellation Brands Inc     | $185.26         | $174.40  | $184.97  | $211.12  | $230.14  |
| 425  | SW     | Smurfit Westrock Plc         | $43.56          | $51.00   | $52.59   | $52.08   | $0.00    |
| 426  | SWK    | Stanley Black & Decker Inc   | $82.86          | $86.33   | $85.21   | $87.98   | $91.03   |
| 427  | SWKS   | Skyworks Solutions           | $68.23          | $67.09   | $79.49   | $84.63   | $93.88   |
| 428  | SYF    | Synchrony Financial          | $51.99          | $59.88   | $64.38   | $63.61   | $55.53   |
| 429  | SYK    | Stryker Corp                 | $365.29         | $385.78  | $382.06  | $378.26  | $361.73  |
| 430  | SYY    | Sysco Corp                   | $74.52          | $73.49   | $73.68   | $75.22   | $74.86   |
| 431  | T      | AT&T Inc                     | $26.01          | $26.43   | $24.42   | $23.52   | $21.56   |
| 432  | TAP    | Molson Coors Brewing Company | $60.40          | $59.98   | $57.05   | $58.03   | $55.64   |
| 433  | TDG    | Transdigm Group Inc          | $1319.87        | $1337.19 | $1320.88 | $1312.69 | $1314.04 |
| 434  | TDY    | Teledyne Technologies Inc    | $488.42         | $497.64  | $491.41  | $480.77  | $446.23  |
| 435  | TECH   | Bio-Techne Corp              | $58.47          | $63.98   | $70.18   | $71.72   | $73.60   |
| 436  | TEL    | Te Connectivity Ltd          | $144.56         | $151.29  | $148.26  | $149.07  | $149.23  |
| 437  | TER    | Teradyne Inc                 | $87.07          | $110.17  | $120.03  | $117.60  | $127.27  |
| 438  | TFC    | Truist Financial Corp        | $39.91          | $44.97   | $45.45   | $45.31   | $43.10   |
| 439  | TFX    | Teleflex Inc                 | $138.82         | $156.39  | $169.78  | $185.37  | $206.26  |
| 440  | TGT    | Target Corp                  | $112.76         | $123.19  | $131.33  | $136.65  | $142.74  |
| 441  | TJX    | TJX Companies                | $116.12         | $122.50  | $122.66  | $121.37  | $117.00  |
| 442  | TMO    | Thermo Fisher Scientific Inc | $514.20         | $529.87  | $547.83  | $544.73  | $565.99  |
| 443  | TMUS   | T-Mobile US                  | $256.67         | $264.74  | $240.68  | $235.98  | $212.50  |
| 444  | TPL    | Texas Pacific Land Trust     | $1327.43        | $1358.76 | $1322.12 | $1302.00 | $1052.79 |
| 445  | TPR    | Tapestry Inc                 | $71.97          | $82.84   | $75.86   | $65.68   | $53.83   |
| 446  | TRGP   | Targa Resources              | $181.19         | $196.18  | $197.29  | $190.35  | $163.85  |
| 447  | TRMB   | Trimble Navigation           | $66.49          | $71.21   | $72.62   | $70.78   | $63.59   |
| 448  | TROW   | T Rowe Price Group           | $96.30          | $104.38  | $109.81  | $113.64  | $112.51  |
| 449  | TRV    | The Travelers Companies Inc  | $254.56         | $249.43  | $245.43  | $249.46  | $234.26  |
| 450  | TSCO   | Tractor Supply Company       | $53.92          | $56.03   | $55.17   | $55.62   | $55.20   |
| 451  | TSLA   | Tesla Inc                    | $230.58         | $304.87  | $362.91  | $346.30  | $281.65  |
| 452  | TSN    | Tyson Foods                  | $61.31          | $59.96   | $58.01   | $59.49   | $59.58   |
| 453  | TT     | Trane Technologies Plc       | $333.96         | $352.36  | $366.33  | $382.97  | $365.01  |
| 454  | TTWO   | Take-Two Interactive         | $203.80         | $209.75  | $195.90  | $186.28  | $169.97  |
| 455  | TXN    | Texas Instruments            | $177.34         | $191.33  | $189.47  | $194.73  | $197.30  |
| 456  | TXT    | Textron Inc                  | $73.65          | $73.16   | $75.32   | $79.52   | $83.59   |
| 457  | TYL    | Tyler Technologies           | $565.22         | $613.91  | $598.96  | $604.15  | $574.36  |
| 458  | UAL    | United Airlines Holdings Inc | $76.06          | $94.52   | $100.55  | $94.52   | $71.66   |
| 459  | UBER   | Uber Technologies Inc        | $70.65          | $76.87   | $70.80   | $70.94   | $70.72   |
| 460  | UDR    | United Dominion Realty Trust | $43.78          | $43.83   | $42.59   | $43.43   | $42.81   |
| 461  | UHS    | Universal Health Services    | $172.52         | $179.70  | $183.39  | $193.19  | $200.59  |
| 462  | ULTA   | Ulta Beauty Inc              | $342.72         | $360.51  | $393.67  | $390.19  | $383.77  |
| 463  | UNH    | Unitedhealth Group Inc       | $486.04         | $490.04  | $512.36  | $540.30  | $545.13  |
| 464  | UNP    | Union Pacific Corp           | $237.78         | $246.25  | $241.13  | $238.85  | $238.56  |
| 465  | UPS    | United Parcel Service        | $116.36         | $117.30  | $121.54  | $126.71  | $129.82  |
| 466  | URI    | United Rentals               | $600.76         | $661.67  | $706.30  | $764.26  | $736.16  |
| 467  | USB    | U.S. Bancorp                 | $41.56          | $45.85   | $47.31   | $48.71   | $45.78   |
| 468  | V      | Visa Inc                     | $332.14         | $351.17  | $336.41  | $320.23  | $295.95  |
| 469  | VICI   | Vici Properties Inc          | $32.35          | $31.60   | $30.32   | $30.97   | $30.92   |
| 470  | VLO    | Valero Energy Corp           | $123.03         | $131.15  | $132.04  | $132.78  | $139.96  |
| 471  | VLTO   | Veralto Corporation          | $96.99          | $99.06   | $100.68  | $103.23  | $103.99  |
| 472  | VMC    | Vulcan Materials Company     | $224.71         | $249.10  | $259.76  | $267.25  | $257.90  |
| 473  | VRSK   | Verisk Analytics Inc         | $290.53         | $295.36  | $286.71  | $283.45  | $275.81  |
| 474  | VRSN   | Verisign Inc                 | $236.54         | $234.88  | $220.75  | $204.05  | $192.14  |
| 475  | VRTX   | Vertex Pharmaceutic          | $488.34         | $477.37  | $450.51  | $459.11  | $467.49  |
| 476  | VST    | Vistra Energy Corp           | $114.36         | $142.08  | $155.44  | $148.12  | $119.55  |
| 477  | VTR    | Ventas Inc                   | $66.70          | $67.00   | $62.36   | $62.76   | $59.65   |
| 478  | VTRS   | Viatris Inc                  | $9.34           | $10.30   | $11.05   | $11.75   | $11.49   |
| 479  | VZ     | Verizon Communications Inc   | $43.43          | $42.89   | $40.83   | $41.42   | $41.52   |
| 480  | WAB    | Wabtec Corp                  | $175.92         | $185.07  | $194.10  | $194.92  | $180.47  |
| 481  | WAT    | Waters Corp                  | $378.85         | $380.43  | $390.75  | $379.01  | $351.10  |
| 482  | WBA    | Walgreens Boots Alliance     | $11.21          | $10.61   | $10.66   | $10.00   | $10.75   |
| 483  | WBD    | Discovery Inc Series A       | $10.37          | $10.74   | $10.42   | $9.96    | $8.87    |
| 484  | WDAY   | Workday Inc                  | $242.93         | $257.79  | $258.41  | $258.09  | $244.95  |
| 485  | WDC    | Western Digital Corp         | $41.80          | $48.17   | $48.19   | $49.26   | $50.59   |
| 486  | WEC    | Wisconsin Energy Corp        | $105.77         | $104.93  | $100.27  | $98.87   | $92.91   |
| 487  | WELL   | Welltower Inc                | $147.29         | $150.21  | $139.23  | $136.04  | $125.02  |
| 488  | WFC    | Wells Fargo & Company        | $67.28          | $76.09   | $75.67   | $72.94   | $65.06   |
| 489  | WM     | Waste Management             | $224.21         | $228.83  | $218.53  | $217.64  | $212.92  |
| 490  | WMB    | Williams Companies           | $54.95          | $56.49   | $56.50   | $55.67   | $49.74   |
| 491  | WMT    | Walmart Inc                  | $87.44          | $97.40   | $95.83   | $91.78   | $82.07   |
| 492  | WRB    | W.R. Berkley Corp            | $61.96          | $61.82   | $60.10   | $60.25   | $57.88   |
| 493  | WST    | West Pharmaceutical Services | $230.77         | $230.38  | $293.48  | $305.55  | $308.02  |
| 494  | WTW    | Willis Towers Watson Public  | $326.52         | $329.02  | $323.12  | $315.97  | $295.54  |
| 495  | WY     | Weyerhaeuser Company         | $29.58          | $30.07   | $29.69   | $30.39   | $30.48   |
| 496  | WYNN   | Wynn Resorts Ltd             | $87.38          | $88.08   | $85.61   | $89.37   | $87.49   |
| 497  | XEL    | XCEL Energy Inc              | $68.73          | $69.35   | $67.67   | $67.70   | $63.06   |
| 498  | XOM    | Exxon Mobil Corp             | $109.16         | $109.44  | $109.05  | $112.84  | $114.20  |
| 499  | XYL    | Xylem Inc                    | $123.63         | $129.15  | $124.11  | $124.81  | $130.05  |
| 500  | YUM    | Yum! Brands                  | $156.70         | $153.11  | $139.82  | $137.49  | $135.83  |
| 501  | ZBH    | Zimmer Biomet Holdings       | $107.34         | $104.22  | $105.85  | $106.94  | $108.05  |
| 502  | ZBRA   | Zebra Technologies           | $280.33         | $313.10  | $361.48  | $376.20  | $354.17  |
| 503  | ZTS    | Zoetis Inc Cl A              | $164.39         | $165.70  | $167.01  | $172.35  | $177.08  |
| 504  | Downloaded from Barchart.com as of 03-12-2025 01:27am CDT | nan                          | $nan            | $nan     | $nan     | $nan     | $nan     |
